year,make,Model,baseModel,cityE,combE,highwayE,drive,id,range,rangeCity,rangeHwy,UCity,UHighway,evMotor,trany,kWhpmCity,kWhpmComb,kWhpmHighway,co2pm
2000,Nissan,Altra EV,Altra EV,41,40,37,,16423,90,0,0,116.21,129.62,62 KW AC Induction,,0.41,0.4,0.37,129.6
1999,GMC,EV1,EV1,43,40,36,,30968,55,0,0,112.33,134.8,102kW AC Induction,Automatic (A1),0.43,0.4,0.36,129.6
2014,Mercedes-Benz,B-Class Electric Drive,B-Class Electric Drive,40,40,41,Front-Wheel Drive,35247,87,88.5,86.2,120.8,118.3,132 kW AC Induction,Automatic (A1),0.4,0.4,0.41,129.6
2015,Mercedes-Benz,B-Class Electric Drive,B-Class Electric Drive,39,40,41,Front-Wheel Drive,35960,87,89,85,122,117,132 kW AC Induction,Automatic (A1),0.39,0.4,0.41,129.6
2024,Mercedes-Benz,EQE 350 4matic (SUV),EQE,38,40,41,All-Wheel Drive,47848,265,274,254,123.2,114.5,71 and 114 kW ACPM 3-Phase,Automatic (A1),0.38,0.4,0.41,129.6
2025,Mercedes-Benz,EQE 500 4matic,EQE,39,40,40,All-Wheel Drive,48385,266,269,262,125.6,124.2,71 and 144 kW ACPM 6-Phase,Automatic (A1),0.39,0.4,0.4,129.6
2024,Dodge,Charger 2-Dr Daytona R/T AWD 20in Goodyear,Charger,37,40,43,All-Wheel Drive,48783,268,286,246,148.2,130.1,250 and 250 kW DCPM,Automatic (A1),0.37,0.4,0.43,129.6
2025,Kia,EV6 AWD GT,EV6,38,40,42,All-Wheel Drive,49094,231,241,219,125.5,114.1,175 and 303 kW PMSM,Automatic (A1),0.38,0.4,0.42,129.6
2026,Hyundai,Ioniq 9 AWD Performance,Ioniq 9,37,40,43,All-Wheel Drive,49663,311,332,286,135.1,117.2,157 kW PMSM (IPM),Automatic (A1),0.37,0.4,0.43,129.6
2026,Kia,EV9 Long Range AWD,EV9,36,40,45,All-Wheel Drive,49667,283,311,249,141.1,112.5,141 kW PMSM (IPM),Automatic (A1),0.36,0.4,0.45,129.6
2026,Dodge,Charger Daytona R/T AWD 245/55ZR18,Charger,37,40,42.54,All-Wheel Drive,49957,263,279,243,132.4,113.2,250 and 250 kW DCPM,Automatic (A1),0.37,0.4,0.4254,129.6
2026,Polestar,4 Long Range Dual Motor,4,38,40,42,All-Wheel Drive,50034,280,293,265,131,117.2,200 kW PMSM,Automatic (A1),0.38,0.4,0.42,129.6
2025,Volvo,EX90 Twin Motor (21 Inch Wheels),EX90,38.99,40.03,41.3,All-Wheel Drive,48778,310,318,300,123.5,116.6,127 and 173 kW PMSM,Automatic (A1),0.3899,0.4003,0.413,129.6972
2025,Volvo,EX90 Twin Motor Performance (21 Inch Wheels),EX90,38.99,40.03,41.3,All-Wheel Drive,48779,310,318,300,123.5,116.6,173 and 180 kW PMSM,Automatic (A1),0.3899,0.4003,0.413,129.6972
2026,Kia,EV6 AWD GT,EV6,38.37,40.09,42.2,All-Wheel Drive,50211,231,241,219,125.5,114.1,175 and 303 kW PMSM,Automatic (A1),0.3837,0.4009,0.422,129.8916
2025,BMW,i5 M60 xDrive Sedan (21 inch Wheels),i5,40.39,40.12,39.79,All-Wheel Drive,48321,239,237,241,119.2,121,190 and 230 kW EESM,Automatic (A1),0.4039,0.4012,0.3979,129.9888
2026,Ford,Mustang Mach-E Rally,Mustang Mach-E,37.71,40.15,43.15,All-Wheel Drive,50203,255,270,236,127.7,111.6,179 kW ACPM,Automatic (A1),0.3771,0.4015,0.4315,130.086
2021,Ford,Mustang Mach-E GT,Mustang Mach-E,37.44,40.18,43.54,All-Wheel Drive,44797,270,288.1,247.9,128.6,110.6,179 and 179 kW AC PMSM,Automatic (A1),0.3744,0.4018,0.4354,130.1832
2023,Ford,Mustang Mach-E GT,Mustang Mach-E,37.44,40.18,43.54,All-Wheel Drive,46515,270,288.1,247.9,128.6,110.6,179 and 179 kW AC PMSM,Automatic (A1),0.3744,0.4018,0.4354,130.1832
2025,Audi,RS e-tron GT Performance,RS e-tron,39.46,40.18,41.05,All-Wheel Drive,48993,278,273,284,122.01,117.3,252 and 415 kW PSM 3-Phase,Automatic (A1),0.3946,0.4018,0.4105,130.1832
2026,Audi,RS e-tron GT Performance,RS e-tron,39.47,40.18,41.05,All-Wheel Drive,50184,278,283,272,122,117.3,"176, 252 and 415 kW PSM 3-Phase",Automatic (A1),0.3947,0.4018,0.4105,130.1832
2022,Ford,Mustang Mach-E GT,Mustang Mach-E,37.43,40.19,43.57,All-Wheel Drive,45142,270,288.1,247.9,128.6,110.6,179 and 179 kW AC PMSM,Automatic (A1),0.3743,0.4019,0.4357,130.2156
2024,BMW,i7 xDrive60 Sedan (20 inch wheels),i7,41.28,40.21,38.91,4-Wheel Drive,46935,298,290,308,115.1,122.1,190 kW EESM,Automatic (A1),0.4128,0.4021,0.3891,130.2804
2016,Mercedes-Benz,B250e,B-Class Electric Drive,39.47,40.23,41.15,Front-Wheel Drive,36997,87,89,85,122,117,132 kW AC Induction,Automatic (A1),0.3947,0.4023,0.4115,130.3452
2017,Mercedes-Benz,B250e,B-Class Electric Drive,39.47,40.23,41.15,Front-Wheel Drive,38002,87,89,85,122,117,132 kW AC Induction,Automatic (A1),0.3947,0.4023,0.4115,130.3452
2026,BMW,iX xDrive45 (22 inch Wheels),iX,39.6,40.27,41.08,All-Wheel Drive,49621,279,284,273,121.6,117.2,190 and 200 kW EESM,Automatic (A1),0.396,0.4027,0.4108,130.4748
2023,Porsche,Taycan 4S Performance Battery,Taycan,40.5,40.5,40.5,All-Wheel Drive,46021,206,0,0,118.9,118.9,150 and 270 kW ACPM,Automatic (A2),0.405,0.405,0.405,131.22
2025,Maserati,Granturismo Folgore,Granturismo,39.6,40.51,41.62,All-Wheel Drive,48716,233,238,227,115.8,110.2,"275, 275 and 275 kW DCPM",Automatic (A1),0.396,0.4051,0.4162,131.2524
2026,Acura,ZDX AWD Type S,ZDX,37.56,40.57,44.26,All-Wheel Drive,50025,296,318,270,128.2,108.8,155 and 220 kW AC Induction,Automatic (A1),0.3756,0.4057,0.4426,131.4468
2025,BMW,iX xDrive50 (20 inch wheels),iX,40.98,40.59,40.13,All-Wheel Drive,48338,309,306,313,117.5,120,190 and 230 kW EESM,Automatic (A1),0.4098,0.4059,0.4013,131.5116
2023,BMW,i7 xDrive60 Sedan (20 inch wheels),i7,41.57,40.63,39.49,All-Wheel Drive,45994,296,0,0,113.5,119.5,TBD,Automatic (A1),0.4157,0.4063,0.3949,131.6412
2025,BMW,iX xDrive40 (21 inch Wheels),iX,39.99,40.64,41.44,All-Wheel Drive,48336,211,214,207,120.4,116.2,190 and 230 kW EESM,Automatic (A1),0.3999,0.4064,0.4144,131.6736
2023,Porsche,Taycan Performance Battery,Taycan,42.54,40.67,38.4,Rear-Wheel Drive,46025,208,0,0,113.2,125.4,240 kW ACPM,Automatic (A2),0.4254,0.4067,0.384,131.7708
2024,Porsche,Taycan Performance Battery,Taycan,42.54,40.67,38.4,Rear-Wheel Drive,47471,208,198,220,113.2,125.4,280 kW ACPM,Automatic (A2),0.4254,0.4067,0.384,131.7708
2022,BMW,iX xDrive50 (21 inch wheels),iX,40.94,40.68,40.36,All-Wheel Drive,45136,305,303.1,307.3,111.9,113.5,190 and 230 kW EESM,Automatic (A1),0.4094,0.4068,0.4036,131.8032
2023,BMW,iX xDrive50 (21 inch wheels),iX,40.94,40.68,40.36,All-Wheel Drive,45997,305,0,0,111.9,113.5,TBD,Automatic (A1),0.4094,0.4068,0.4036,131.8032
2022,Porsche,Taycan GTS,Taycan,40.46,40.69,40.98,All-Wheel Drive,45715,246,247.4,244.2,119,117.5,194 and 360 kW ACPM,Automatic (A2),0.4046,0.4069,0.4098,131.8356
2023,Porsche,Taycan GTS,Taycan,40.46,40.69,40.98,All-Wheel Drive,46022,246,0,0,119,117.5,175 and 335 kW ACPM,Automatic (A2),0.4046,0.4069,0.4098,131.8356
